Date,Open,High,Low,Close,Close_Dolar
2022-09-01,109524.0,110405.0,108217.0,110405.0,5.181700229644775
2022-09-02,110409.0,112264.0,110409.0,110864.0,5.2403998374938965
2022-09-05,110868.0,112671.0,110865.0,112203.0,5.171000003814697
2022-09-06,112203.0,112203.0,109348.0,109764.0,5.153900146484375
2022-09-08,109771.0,110768.0,108619.0,109916.0,5.246699810028076
2022-09-09,109922.0,112540.0,109922.0,112300.0,5.2133002281188965
2022-09-12,112307.0,114160.0,112305.0,113407.0,5.146299839019775
2022-09-13,113398.0,113400.0,110522.0,110794.0,5.0920000076293945
2022-09-14,110794.0,111504.0,110118.0,110547.0,5.189799785614014
2022-09-15,110547.0,111100.0,109524.0,109954.0,5.162700176239014
2022-09-16,109951.0,109952.0,108489.0,109280.0,5.246099948883057
2022-09-19,109283.0,111976.0,108508.0,111824.0,5.250699996948242
2022-09-20,111824.0,112544.0,111393.0,112517.0,5.170899868011475
2022-09-21,112517.0,113294.0,111380.0,111936.0,5.141499996185303
2022-09-22,111942.0,114392.0,111819.0,114070.0,5.170400142669678
2022-09-23,112258.0,112457.0,110732.0,111716.0,5.115499973297119
2022-09-26,111713.0,111713.0,109022.0,109114.0,5.258800029754639
2022-09-27,109122.0,110161.0,108120.0,108376.0,5.389400005340576
2022-09-28,108377.0,108970.0,107914.0,108451.0,5.3780999183654785
2022-09-29,108449.0,108449.0,106244.0,107664.0,5.374199867248535
2022-09-30,107664.0,110502.0,107315.0,110037.0,5.396200180053711
2022-10-03,110048.0,116134.0,110048.0,116134.0,5.414299964904785
2022-10-04,116704.0,118280.0,115837.0,116230.0,5.16349983215332
2022-10-05,116231.0,117514.0,115906.0,117198.0,5.17579984664917
2022-10-06,117200.0,118382.0,117144.0,117561.0,5.195199966430664
2022-10-07,117560.0,117960.0,115924.0,116375.0,5.220099925994873
2022-10-10,116377.0,116841.0,115261.0,115941.0,5.198400020599365
2022-10-11,115928.0,115928.0,114297.0,114827.0,5.186800003051758
2022-10-13,114819.0,115367.0,112690.0,114300.0,5.291500091552734
2022-10-14,114301.0,114712.0,111631.0,112072.0,5.259799957275391
2022-10-17,112107.0,114406.0,112090.0,113624.0,5.327400207519531
2022-10-18,113627.0,115795.0,113627.0,115743.0,5.2773590087890625
2022-10-19,115744.0,116459.0,115264.0,116274.0,5.239799976348877
2022-10-20,116276.0,117367.0,116276.0,117171.0,5.269199848175049
2022-10-21,117170.0,120752.0,116736.0,119929.0,5.216599941253662
2022-10-24,119922.0,119924.0,115793.0,116013.0,5.163400173187256
2022-10-25,116016.0,116203.0,114626.0,114626.0,5.30620002746582
2022-10-26,114626.0,114626.0,112577.0,112764.0,5.315199851989746
2022-10-27,112766.0,116236.0,112765.0,114641.0,5.383900165557861
2022-10-28,114636.0,114712.0,113336.0,114539.0,5.339200019836426
2022-10-31,114533.0,116763.0,112113.0,116037.0,5.28849983215332
2022-11-01,116037.0,118261.0,115547.0,116929.0,5.178800106048584
2022-11-03,116927.0,117373.0,114485.0,116896.0,5.142600059509277
2022-11-04,116907.0,120039.0,116904.0,118155.0,5.1149001121521
2022-11-07,118148.0,118240.0,115266.0,115342.0,5.078132152557373
2022-11-08,115340.0,117072.0,114688.0,116160.0,5.153326988220215
2022-11-09,116153.0,116183.0,113110.0,113580.0,5.14300012588501
2022-11-10,113579.0,113579.0,108516.0,109775.0,5.185200214385986
2022-11-11,109775.0,113010.0,109408.0,112253.0,5.341579914093018
2022-11-14,112256.0,114322.0,111930.0,113161.0,5.279058933258057
2022-11-16,113166.0,113473.0,109512.0,110243.0,5.331699848175049
2022-11-17,110241.0,110242.0,107245.0,109703.0,5.39900016784668
2022-11-18,109706.0,111585.0,108512.0,108880.0,5.422100067138672
2022-11-21,108868.0,110235.0,107957.0,109748.0,5.38129997253418
2022-11-22,109750.0,110224.0,107867.0,109037.0,5.318600177764893
2022-11-23,109036.0,109285.0,107902.0,108683.0,5.357699871063232
2022-11-24,108846.0,112612.0,108846.0,111831.0,5.35830020904541
2022-11-25,111831.0,112025.0,108552.0,108977.0,5.320000171661377
2022-11-28,108977.0,109476.0,108378.0,108782.0,5.4085001945495605
2022-11-29,108784.0,112187.0,108784.0,110910.0,5.364699840545654
2022-11-30,110910.0,112486.0,110202.0,112486.0,5.268199920654297
2022-12-01,112479.0,112479.0,110548.0,110926.0,5.181589126586914
2022-12-02,110926.0,113761.0,109963.0,111924.0,5.183599948883057
2022-12-05,111922.0,112150.0,109270.0,109401.0,5.2179999351501465
2022-12-06,109403.0,110663.0,109217.0,109533.0,5.28000020980835
2022-12-07,110188.0,110247.0,108612.0,109361.0,5.234000205993652
2022-12-08,109068.0,109286.0,106906.0,107245.0,5.203999996185303
2022-12-09,107250.0,108566.0,107089.0,107689.0,5.224299907684326
2022-12-12,107518.0,107561.0,103877.0,105264.0,5.235000133514404
2022-12-13,105345.0,106689.0,103409.0,103892.0,5.321300029754639
2022-12-14,103536.0,104516.0,101632.0,103803.0,5.292799949645996
2022-12-15,103739.0,105483.0,103014.0,103738.0,5.277200222015381
2022-12-16,103737.0,104018.0,102248.0,102825.0,5.311800003051758
2022-12-19,102859.0,105107.0,102770.0,104530.0,5.306509017944336
2022-12-20,104740.0,107792.0,104607.0,106979.0,5.291600227355957
2022-12-21,106866.0,107991.0,106066.0,107313.0,5.198400020599365
2022-12-22,107436.0,108383.0,106510.0,107317.0,5.199900150299072
2022-12-23,107552.0,109994.0,107552.0,109698.0,5.165599822998047
2022-12-26,109699.0,109755.0,108309.0,108738.0,5.164299964904785
2022-12-27,108739.0,109353.0,107418.0,108347.0,5.21750020980835
2022-12-28,108578.0,110536.0,108578.0,110237.0,5.292300224304199
2022-12-29,110237.0,111178.0,109560.0,110031.0,5.2667999267578125
2023-01-02,109734.0,109734.0,105981.0,106376.0,5.2855000495910645
2023-01-03,106377.0,106684.0,103852.0,104166.0,5.360130786895752
2023-01-04,104167.0,105627.0,103915.0,105334.0,5.478499889373779
2023-01-05,105336.0,107743.0,105333.0,107518.0,5.430099964141846
2023-01-06,107642.0,109433.0,107642.0,108836.0,5.349800109863281
2023-01-09,108964.0,109938.0,108134.0,109227.0,5.224400043487549
2023-01-10,109129.0,111193.0,108478.0,110912.0,5.253699779510498
2023-01-11,110816.0,111841.0,110752.0,111763.0,5.198299884796143
2023-01-12,112516.0,113129.0,110982.0,111877.0,5.1585001945495605
2023-01-13,111843.0,111847.0,110428.0,110916.0,5.107699871063232
2023-01-16,110908.0,110908.0,108753.0,109213.0,5.080699920654297
2023-01-17,109214.0,111577.0,109214.0,111439.0,5.145999908447266
2023-01-18,111442.0,113306.0,111441.0,112452.0,5.099599838256836
2023-01-19,112219.0,113172.0,111307.0,113006.0,5.185299873352051
2023-01-20,112922.0,113025.0,111735.0,112301.0,5.172999858856201
2023-01-23,112041.0,113061.0,111542.0,111709.0,5.206299781799316
2023-01-24,111746.0,113040.0,111669.0,113028.0,5.205900192260742
2023-01-25,113028.0,114386.0,111927.0,114195.0,5.138400077819824
2023-01-26,114271.0,114835.0,113591.0,114109.0,5.072199821472168
2023-01-27,114178.0,114191.0,112044.0,112502.0,5.062745094299316
2023-01-30,112319.0,112920.0,111824.0,111888.0,5.1072001457214355
2023-01-31,112273.0,113581.0,112145.0,113532.0,5.1149001121521
2023-02-01,113430.0,113598.0,110729.0,112303.0,5.072199821472168
2023-02-02,112072.0,112943.0,109747.0,109935.0,5.053500175476074
2023-02-03,110141.0,110570.0,108185.0,108490.0,5.049200057983398
2023-02-06,108518.0,108710.0,107416.0,108456.0,5.149799823760986
2023-02-07,108727.0,109037.0,107234.0,107920.0,5.145699977874756
2023-02-08,107832.0,110175.0,107830.0,109882.0,5.2093000411987305
2023-02-09,109952.0,110046.0,107781.0,107783.0,5.19950008392334
2023-02-10,108002.0,108647.0,107620.0,108150.0,5.2895002365112305
2023-02-13,108074.0,109193.0,107420.0,108846.0,5.213482856750488
2023-02-14,108839.0,109564.0,107557.0,107659.0,5.158400058746338
2023-02-15,107849.0,110210.0,107267.0,109442.0,5.191500186920166
2023-02-16,109599.0,110437.0,108378.0,109905.0,5.2179999351501465
2023-02-17,109941.0,109941.0,108968.0,109303.0,5.216800212860107
2023-02-22,109174.0,109174.0,106720.0,107152.0,5.166500091552734
2023-02-23,107152.0,108663.0,106731.0,107720.0,5.151199817657471
2023-02-24,107582.0,107611.0,105360.0,105873.0,5.136199951171875
2023-02-27,105807.0,106402.0,105227.0,105711.0,5.207799911499023
2023-02-28,105706.0,106794.0,104932.0,104932.0,5.199699878692627
2023-03-01,104933.0,105497.0,103105.0,104385.0,5.235899925231934
2023-03-02,104375.0,104912.0,103321.0,103326.0,5.178299903869629
2023-03-03,103326.0,104440.0,103323.0,103866.0,5.1996002197265625
2023-03-06,103865.0,105171.0,103170.0,104700.0,5.194399833679199
2023-03-07,104700.0,105179.0,103480.0,104228.0,5.152200222015381
2023-03-08,104228.0,106721.0,104228.0,106540.0,5.190000057220459
2023-03-09,106540.0,106724.0,105053.0,105071.0,5.144400119781494
2023-03-10,105071.0,105071.0,103201.0,103618.0,5.163700103759766
2023-03-13,103608.0,103907.0,102255.0,103121.0,5.21560001373291
